Slice,SampleID,Final_area
20210704_HS_AEGTumors_BUDCR4536_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0012B_T1_X1_D1_a1,3656294
20210704_HS_AEGTumors_BKLSW3425_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0021A_T2_X1_D1_a1,7081206
20210710_HS_AEGTumors_BKZDT3415_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0021B_T1_X1_D1_a1,2041878.4
20210710_HS_AEGTumors_BKZDT3415_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0021B_T1_X1_D1_a2,3101508
20210710_HS_AEGTumors_BKZDT3415_s0_a3_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0021B_T1_X1_D1_a3,981058
20210725_HS_AEGTumors_AK17_2739_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0021C_T1_X1_D1_a1,8628227
20210710_HS_AEGTumors_BKEDW3424_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0022A_T2_X1_D2_a1,7993721
20210710_HS_AEGTumors_BKHDN3428_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0022B_T1_X1_D1_a1,5486336
20210710_HS_AEGTumors_BKHDN3428_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0022B_T1_X1_D1_a2,2545737
20210719_MSL_AEGTumors_AK17_11389_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0022C_T1_X1_D1_a1,7077805
20210719_MSL_AEGTumors_AK17_11389_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0022C_T1_X1_D1_a2,10774040
20210613_HS_AEGTumor_BUSTT2174_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0003A_T1_X1_D1_a1,8780458
20210618_HS_AEGTumors_BUZTT2130_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0003B_T2_X1_D1_a1,3959331
20210618_HS_AEGTumors_BUZTT2130_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0003B_T2_X1_D1_a2,3732840
20210717_HS_AEGTumors_BUUXX2173_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0003C_T1_X1_D1_a1,3211846
20210717_HS_AEGTumors_BUUXX2173_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0003C_T1_X1_D1_a2,3564594
20210717_HS_AEGTumors_BUUXX2173_s0_a3_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0003C_T1_X1_D1_a3,2811616
20210619_HS_AEGTumors_BUGRT4502_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0005A_T1_X1_D1_a2,2696143
20210619_HS_AEGTumors_BUPIU4509_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0005B_T1_X1_D1_a1,3894585
20210619_HS_AEGTumors_BUPIU4509_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0005B_T1_X1_D1_a2,3966615
20210710_HS_AEGTumors_BUCMF4518_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0005C_T1_X1_D1_a1,7611904.45
20210620_HS_AEGTumors_BUNOJ4546_V_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0010A_T1_X1_D1_a1,6104088
20210620_HS_AEGTumors_BUNOJ4546_V_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0010A_T1_X1_D1_a2,6157939
20210619_HS_AEGTumors_BUNOJ4546_III_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0010A_T2_X1_D1_a1,1549068
20210619_HS_AEGTumors_BUNOJ4546_III_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0010A_T2_X1_D1_a2,3550523
20210619_HS_AEGTumors_BUCSS4561_VI_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0010B_T1_X1_D1_a1,6731129.6
20210620_HS_AEGTumors_BUCSS4561_III_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0010B_T2_X1_D1_a1,8482995
20210130_HS_HCC_EC_BUEBR4582I_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0010C_T1_X1_D1_a1,6563187.2
20210203_HS_HCC_EC_BUUXZ4548_biopsy_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0011A_T1_X1_D1_a1,7951717.55
20210620_HS_AEGTumors_BUUFC4563_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0011B_T1_X1_D1_a1,8613304
20210717_HS_AEGTumors_BUVQU4575_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0011C_T1_X1_D1_a1,3958169.3
20210717_HS_AEGTumors_BUVQU4575_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0011C_T1_X1_D1_a2,3218307
20210207_HS_HCC_EC_BUAQH4339_biopsy_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0012B_T1_X1_D1_a1,7932067
20210207_HS_HCC_EC_BUVYS4423_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0012C_T1_X1_D1_a1,8439369.65
20210618_MSL_AEGTumors_BKFBP3396_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0021A_T2_X1_D1_a1,8958083
20210625_HS_AEGTumors_BKYPM3387_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0021B_T1_X1_D1_a1,5835865
20210625_HS_AEGTumors_BKYPM3387_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0021B_T1_X1_D1_a2,4121116
20210712_HS_AEGTumors_AK1610832_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0021C_T1_X1_D1_a1,3640329.7
20210712_HS_AEGTumors_AK1610832_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0021C_T1_X1_D1_a2,3993436
20210527_HS_AEGtumors_AK1610823_Immune_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0021C_T1_X1_D1_a3,4100932.45
20210625_MSL_AEGTumors_BKRJP3409_III_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0022A_T1_X1_D1_a2,3481257
20210626_HS_AEGTumors_BKMIG3416_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0022B_T1_X1_D1_a1,4455091
20210626_HS_AEGTumors_BKMIG3416_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0022B_T1_X1_D1_a2,3212526
20210207_HS_HCC_EC_AK1614865_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0022C_T1_X1_D1_a1,8979854
20210626_HS_AEGTumors_BKKQD3411_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0023A_T1_X1_D1_a1,2832111
20210626_HS_AEGTumors_BKKQD3411_s0_a3_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0023A_T1_X1_D1_a3,703317
20210626_HS_AEGTumors_BKYNJ3418_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0023B_T2_X1_D1_a1,8330177
20210811_HS_AEGTumors_A17_258_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0023C_T1_X1_D1_a1,8663488
20210811_HS_AEGTumors_A17_258_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0023C_T1_X1_D1_a2,3803086
20210811_HS_AEGTumors_A17_258_s0_a3_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0023C_T1_X1_D1_a3,3950956
20210116_HS_HCC_BKWTV3389_biopsy_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0025A_T1_X1_D1_a1,5537314.3
20210711_HS_AEGTumors_AK163740_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0025C_T1_X1_D1_a1,4254408
20210711_HS_AEGTumors_AK163740_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0025C_T1_X1_D1_a2,3967100
